method,embedding_dim,run_id,accuracy,embedding_time,classification_time,total_time
full_graph,32,0,0.8180351906158357,46.64891314506531,0.4381546974182129,47.08706784248352
full_graph,32,1,0.8162756598240469,53.44266080856323,0.4440741539001465,53.88673496246338
full_graph,32,2,0.8206744868035191,64.82068037986755,0.5216271877288818,65.34230756759644
full_graph,64,0,0.8153958944281525,92.73559904098511,0.7730140686035156,93.50861310958862
full_graph,64,1,0.8225806451612904,91.94914984703064,0.7274210453033447,92.67657089233398
full_graph,64,2,0.8282991202346041,92.34255290031433,0.9418017864227295,93.28435468673706
full_graph,128,0,0.825366568914956,166.18706393241882,1.6183218955993652,167.8053858280182
full_graph,128,1,0.8228739002932551,169.0052318572998,1.933854103088379,170.93908596038818
full_graph,128,2,0.8263929618768329,169.07917881011963,1.9141957759857178,170.99337458610535
full_graph,256,0,0.8409090909090909,324.7901928424835,6.081248044967651,330.8714408874512
full_graph,256,1,0.8337243401759531,314.5666859149933,4.864207983016968,319.43089389801025
full_graph,256,2,0.8258064516129032,314.5235412120819,5.322127103805542,319.84566831588745
patched_l2g_rademacher,32,0,0.6813782991202346,6.002033233642578,0.06701087951660156,6.06904411315918
patched_l2g_rademacher,32,1,0.6813782991202346,1.2981491088867188,0.05840110778808594,1.3565502166748047
patched_l2g_rademacher,32,2,0.7322580645161291,41.83045673370361,0.32733798027038574,42.157794713974
patched_l2g_rademacher,64,0,0.6813782991202346,1.4510328769683838,0.08585906028747559,1.5368919372558594
patched_l2g_rademacher,64,1,0.6813782991202346,1.4494850635528564,0.09477782249450684,1.5442628860473633
patched_l2g_rademacher,64,2,0.7725806451612903,58.800686836242676,0.5977990627288818,59.39848589897156
patched_l2g_rademacher,128,0,0.6813782991202346,1.5677828788757324,0.18642497062683105,1.7542078495025635
patched_l2g_rademacher,128,1,0.6813782991202346,1.5794169902801514,0.18262100219726562,1.762037992477417
patched_l2g_rademacher,128,2,0.6813782991202346,1.6111822128295898,0.2031688690185547,1.8143510818481445
patched_l2g_rademacher,256,0,0.7890029325513197,136.87536096572876,6.347130060195923,143.22249102592468
patched_l2g_rademacher,256,1,0.7936950146627566,132.0669937133789,7.1797730922698975,139.2467668056488
patched_l2g_rademacher,256,2,0.8030791788856305,128.35774111747742,7.02026891708374,135.37801003456116
patched_geo,32,0,0.7164222873900293,77.21013879776001,0.49058103561401367,77.70071983337402
patched_geo,32,1,0.7255131964809384,70.70682692527771,0.3964688777923584,71.10329580307007
patched_geo,32,2,0.7401759530791789,87.26980781555176,0.31033802032470703,87.58014583587646
patched_geo,64,0,0.7240469208211143,76.2846429347992,0.6531109809875488,76.93775391578674
patched_geo,64,1,0.7412023460410557,70.27274489402771,0.5750861167907715,70.84783101081848
patched_geo,64,2,0.7656891495601174,64.678542137146,0.5265748500823975,65.2051169872284
patched_geo,128,0,0.7793255131964809,156.03312301635742,2.304265260696411,158.33738827705383
patched_geo,128,1,0.7700879765395895,139.9957320690155,2.25506591796875,142.25079798698425
patched_geo,128,2,0.6813782991202346,1.6861131191253662,0.18884801864624023,1.8749611377716064
patched_geo,256,0,0.6812316715542522,1.7071740627288818,0.32100701332092285,2.0281810760498047
patched_geo,256,1,0.774633431085044,536.0227437019348,7.415166854858398,543.4379105567932
patched_geo,256,2,0.6813782991202346,1.8100111484527588,0.33594322204589844,2.1459543704986572
hierarchical_unified,32,0,0.6813782991202346,0.01340484619140625,0.05940675735473633,0.07281160354614258
hierarchical_unified,32,1,0.6813782991202346,0.013020992279052734,0.056878089904785156,0.06989908218383789
hierarchical_unified,32,2,0.6813782991202346,0.012721776962280273,0.05801987648010254,0.07074165344238281
hierarchical_unified,64,0,0.6813782991202346,0.025274991989135742,0.08163595199584961,0.10691094398498535
hierarchical_unified,64,1,0.6813782991202346,0.024174928665161133,0.06424975395202637,0.0884246826171875
hierarchical_unified,64,2,0.6813782991202346,0.02410602569580078,0.0650789737701416,0.08918499946594238
hierarchical_unified,128,0,0.6813782991202346,0.04816579818725586,0.153001070022583,0.20116686820983887
hierarchical_unified,128,1,0.6813782991202346,0.047902822494506836,0.15258193016052246,0.2004847526550293
hierarchical_unified,128,2,0.6813782991202346,0.048098087310791016,0.15276479721069336,0.20086288452148438
hierarchical_unified,256,0,0.6813782991202346,0.09650588035583496,0.29993295669555664,0.3964388370513916
hierarchical_unified,256,1,0.6813782991202346,0.09613299369812012,0.29607295989990234,0.39220595359802246
hierarchical_unified,256,2,0.6813782991202346,0.0962989330291748,0.296464204788208,0.3927631378173828
graphsage_full,32,0,0.6813782991202346,0.012077093124389648,0.053151845932006836,0.06522893905639648
graphsage_full,32,1,0.6813782991202346,0.012064933776855469,0.05445098876953125,0.06651592254638672
graphsage_full,32,2,0.6813782991202346,0.011979103088378906,0.055194854736328125,0.06717395782470703
graphsage_full,64,0,0.6813782991202346,0.024008989334106445,0.06648087501525879,0.09048986434936523
graphsage_full,64,1,0.6813782991202346,0.02401900291442871,0.06773090362548828,0.09174990653991699
graphsage_full,64,2,0.6813782991202346,0.024008989334106445,0.06737422943115234,0.09138321876525879
graphsage_full,128,0,0.6813782991202346,0.04819607734680176,0.15416789054870605,0.2023639678955078
graphsage_full,128,1,0.6813782991202346,0.04809284210205078,0.1517491340637207,0.19984197616577148
graphsage_full,128,2,0.6813782991202346,0.047843217849731445,0.1555650234222412,0.20340824127197266
graphsage_full,256,0,0.6813782991202346,0.09650516510009766,0.292712926864624,0.3892180919647217
graphsage_full,256,1,0.6813782991202346,0.09700202941894531,0.3216972351074219,0.4186992645263672
graphsage_full,256,2,0.6813782991202346,0.09594869613647461,0.3083927631378174,0.404341459274292
