method,embedding_dim,sampling_strategy,run_id,accuracy,balanced_accuracy,f1_weighted,f1_macro,embedding_time,classification_time
full_graph,64,none,0,0.801,0.18739044688601195,0.7554106306267371,0.20477730918091422,1.4772100448608398,0.0797119140625
full_graph,64,none,1,0.794,0.1850609539922268,0.749159413727425,0.20328049751777327,1.2937390804290771,0.07156491279602051
full_graph,64,none,2,0.793,0.187391848506285,0.7505285543460298,0.20384075210162453,1.259018898010254,0.06893086433410645
full_graph,64,class_weight,0,0.561,0.39299515410813535,0.6369829431866866,0.24181102176018765,1.2749431133270264,0.19477391242980957
full_graph,64,class_weight,1,0.545,0.3169833772437381,0.6154866308311009,0.20235128406218028,1.2924439907073975,0.1968250274658203
full_graph,64,class_weight,2,0.551,0.3368925177916067,0.6297135815580815,0.2152879827742063,1.3062591552734375,0.1778252124786377
full_graph,64,ros,0,0.44,0.35246653832240465,0.5362030090377539,0.2020366594798029,1.3118698596954346,1.6324920654296875
full_graph,64,ros,1,0.44,0.3110580512330804,0.53961637548694,0.197347312368563,1.2808260917663574,1.734170913696289
full_graph,64,ros,2,0.452,0.34403674450674554,0.5486441881741954,0.2034685212668167,1.4091181755065918,1.809821367263794
full_graph,64,smote,0,0.416,0.38028762042354614,0.513162592834275,0.19607222143011158,1.0918562412261963,1.7171411514282227
full_graph,64,smote,1,0.421,0.3221060043358138,0.5289758592425933,0.19508571621026674,1.2886319160461426,1.382430076599121
full_graph,64,smote,2,0.44,0.35937849133078,0.5311109974776552,0.20049110686510094,0.916069746017456,1.292468786239624
full_graph,64,borderline_smote,0,0.474,0.34174506988628783,0.5416842832238242,0.20304215047849697,1.2985851764678955,1.301614761352539
full_graph,64,borderline_smote,1,0.482,0.27572273164741506,0.5344859956514832,0.18283794087210348,1.264139175415039,1.342400074005127
full_graph,64,borderline_smote,2,0.477,0.34002079290116277,0.5408763428224873,0.20820769856094937,1.0882270336151123,1.3671481609344482
full_graph,64,adasyn,0,0.415,0.3766679523663418,0.5044299726400073,0.18881740559342416,0.8826220035552979,1.4799950122833252
full_graph,64,adasyn,1,0.414,0.3721220483272644,0.5041669364609437,0.18653095556645882,0.7871160507202148,1.5271477699279785
full_graph,64,adasyn,2,0.401,0.32915540433140156,0.49319656211193463,0.16752727132786907,0.9690299034118652,1.4449169635772705
full_graph,64,rus,0,0.247,0.209454674062861,0.3509543711927774,0.08962748777169488,1.3117258548736572,0.020121097564697266
full_graph,64,rus,1,0.256,0.24248245417667255,0.35939596682564967,0.10090610187411676,1.322232723236084,0.021138906478881836
full_graph,64,rus,2,0.272,0.21130282694345962,0.38097301603593314,0.10978123158936805,1.321160078048706,0.021157264709472656
full_graph,64,smote_tomek,0,0.397,0.3297238896810403,0.4922408337307729,0.18329049014647394,0.43059420585632324,2.0346899032592773
full_graph,64,smote_tomek,1,0.429,0.33334014914675014,0.5240891053184491,0.18934350580826037,0.9457452297210693,1.9571998119354248
full_graph,64,smote_tomek,2,0.435,0.3849171349330168,0.5324296303466832,0.20143508041480082,1.163898229598999,1.9948160648345947
full_graph,64,smote_enn,0,0.378,0.33094981601741186,0.4794720024816414,0.18484050291672993,1.3224740028381348,1.8705148696899414
full_graph,64,smote_enn,1,0.351,0.348405576545529,0.44105137538213013,0.1903868147262804,1.0898618698120117,1.7062809467315674
full_graph,64,smote_enn,2,0.368,0.3969353371402951,0.4636451276010809,0.1969154882524272,1.3321199417114258,1.8194327354431152
full_graph,128,none,0,0.785,0.1967694890587637,0.744109846984685,0.21461123118389366,2.6633620262145996,0.10785794258117676
full_graph,128,none,1,0.794,0.18646818074635452,0.7492642535090058,0.20335124881105598,1.8910348415374756,0.09742426872253418
full_graph,128,none,2,0.794,0.18023375021524882,0.7483975732336355,0.19137982545006624,1.4904630184173584,0.10341811180114746
full_graph,128,class_weight,0,0.56,0.32864973359271715,0.6410176485608967,0.23685967275100575,2.9342660903930664,0.26546478271484375
full_graph,128,class_weight,1,0.579,0.2847847602937066,0.6566603036640583,0.21687669080120164,2.738621234893799,0.27445125579833984
full_graph,128,class_weight,2,0.56,0.35809158204942365,0.6380111962637001,0.22935941793899606,1.3304922580718994,0.2876088619232178
full_graph,128,ros,0,0.447,0.4059196274943082,0.5415676215194324,0.1988605706768986,1.6557087898254395,5.066780090332031
full_graph,128,ros,1,0.445,0.4053109892984306,0.5423969955507477,0.20313946617652984,1.2044041156768799,5.463943243026733
full_graph,128,ros,2,0.449,0.37923417911598284,0.5488117730470363,0.2007925686543496,1.7155051231384277,5.441280841827393
full_graph,128,smote,0,0.421,0.404415020863982,0.5147125420518917,0.19834229798689532,2.2526190280914307,4.3066630363464355
full_graph,128,smote,1,0.431,0.3681789437235134,0.5288616250153223,0.20560672078159065,1.9658958911895752,5.009367227554321
full_graph,128,smote,2,0.439,0.3094788864573137,0.537159401816844,0.1957806735194028,1.987454891204834,4.37426495552063
full_graph,128,borderline_smote,0,0.481,0.2819908684480299,0.5460874463480332,0.1960241272838101,1.948838710784912,3.916360855102539
full_graph,128,borderline_smote,1,0.464,0.33643257761923534,0.5245974015575855,0.21073140138105478,1.6331450939178467,4.20065712928772
full_graph,128,borderline_smote,2,0.504,0.3186291059715373,0.5740914092653883,0.25727777582152644,3.763212203979492,3.4111552238464355
full_graph,128,adasyn,0,0.424,0.2915560467243498,0.5195649723151352,0.18717104514241434,1.5215270519256592,5.891098260879517
full_graph,128,adasyn,1,0.402,0.3861620602499938,0.49908808108290303,0.18798458933807713,5.168440818786621,4.837436199188232
full_graph,128,adasyn,2,0.438,0.34310266005395534,0.5334875425768041,0.18975556420092007,1.9772789478302002,4.6268439292907715
full_graph,128,rus,0,0.288,0.26369262018740447,0.39933811811370024,0.11894280714440673,3.6706550121307373,0.030313968658447266
full_graph,128,rus,1,0.236,0.21256668331025683,0.34100782450234096,0.09427396593741792,1.5543458461761475,0.028243303298950195
full_graph,128,rus,2,0.239,0.1918507912794249,0.34584009123746173,0.08490907103611264,0.9926960468292236,0.027549028396606445
full_graph,128,smote_tomek,0,0.428,0.3853632087338655,0.5235588773505294,0.1927328977517142,2.789076089859009,5.722041130065918
full_graph,128,smote_tomek,1,0.423,0.3843670990915841,0.5209046552116818,0.1947210415115973,1.5592949390411377,5.9268059730529785
full_graph,128,smote_tomek,2,0.448,0.43887301052437966,0.5406565801258912,0.22026968316234477,1.7955691814422607,5.7003960609436035
full_graph,128,smote_enn,0,0.371,0.416710450796853,0.46875169322288185,0.19634352754950893,3.0693299770355225,4.826931953430176
full_graph,128,smote_enn,1,0.374,0.34739928522899144,0.47126678650998405,0.18657585378956637,1.6928751468658447,6.2283031940460205
