method,embedding_dim,run_id,accuracy,embedding_time,classification_time,total_time
full_graph,4,0,0.5202839756592292,11.386625051498413,0.06377720832824707,11.45040225982666
full_graph,4,1,0.4454868154158215,11.85041880607605,0.07484579086303711,11.925264596939087
full_graph,4,2,0.47413793103448276,11.23781418800354,0.10970187187194824,11.347516059875488
full_graph,8,0,0.5641480730223124,12.981981992721558,0.20317411422729492,13.185156106948853
full_graph,8,1,0.5550202839756593,12.817525148391724,0.24396800994873047,13.061493158340454
full_graph,8,2,0.59026369168357,12.716047048568726,0.2980630397796631,13.014110088348389
full_graph,16,0,0.7233772819472617,15.435527801513672,0.3332836627960205,15.768811464309692
full_graph,16,1,0.678498985801217,14.665815114974976,0.47277283668518066,15.138587951660156
full_graph,16,2,0.6939655172413793,15.309323072433472,0.4550151824951172,15.764338254928589
full_graph,32,0,0.7434077079107505,21.351552963256836,0.4454982280731201,21.797051191329956
full_graph,32,1,0.7403651115618661,23.83137798309326,0.49913692474365234,24.330514907836914
full_graph,32,2,0.7375760649087221,21.79460597038269,0.4768679141998291,22.27147388458252
full_graph,64,0,0.8022312373225152,32.66186809539795,0.7374582290649414,33.39932632446289
full_graph,64,1,0.8062880324543611,35.84244108200073,0.689948320388794,36.532389402389526
full_graph,64,2,0.8045131845841785,33.53258776664734,0.6469731330871582,34.1795608997345
full_graph,128,0,0.8504056795131846,57.42166304588318,1.1790728569030762,58.600735902786255
full_graph,128,1,0.8387423935091278,57.06973576545715,1.4919731616973877,58.56170892715454
full_graph,128,2,0.8519269776876268,57.79580020904541,1.181074857711792,58.9768750667572
l2g_rademacher,4,0,0.4490365111561866,25.365015029907227,0.024699926376342773,25.38971495628357
l2g_rademacher,4,1,0.44396551724137934,16.342586040496826,0.02107977867126465,16.36366581916809
l2g_rademacher,4,2,0.45233265720081134,16.49754810333252,0.02248692512512207,16.52003502845764
l2g_rademacher,8,0,0.47413793103448276,18.992008924484253,0.023589134216308594,19.01559805870056
l2g_rademacher,8,1,0.47058823529411764,16.288371086120605,0.02452397346496582,16.31289505958557
l2g_rademacher,8,2,0.4766734279918864,17.866470098495483,0.023500919342041016,17.889971017837524
l2g_rademacher,16,0,0.518762677484787,21.38253903388977,0.026195049285888672,21.40873408317566
l2g_rademacher,16,1,0.5060851926977687,21.292810916900635,0.027209043502807617,21.320019960403442
l2g_rademacher,16,2,0.5316937119675457,22.430949211120605,0.026301145553588867,22.457250356674194
l2g_rademacher,32,0,0.5727687626774848,26.927112102508545,0.02812790870666504,26.95524001121521
l2g_rademacher,32,1,0.5405679513184585,27.348493099212646,0.030457019805908203,27.378950119018555
l2g_rademacher,32,2,0.559077079107505,24.627793312072754,0.02764296531677246,24.655436277389526
l2g_rademacher,64,0,0.6508620689655172,35.821277141571045,0.04440712928771973,35.865684270858765
l2g_rademacher,64,1,0.6468052738336714,36.526731967926025,0.04830503463745117,36.57503700256348
l2g_rademacher,64,2,0.6508620689655172,36.185452699661255,0.04669308662414551,36.2321457862854
l2g_rademacher,128,0,0.7109533468559838,60.374425172805786,0.08954906463623047,60.46397423744202
l2g_rademacher,128,1,0.7251521298174443,63.891592025756836,0.08119559288024902,63.972787618637085
l2g_rademacher,128,2,0.7294624746450304,61.28934931755066,0.0815889835357666,61.370938301086426
hierarchical_l2g,4,0,0.4556288032454361,114.42953968048096,0.021764039993286133,114.45130372047424
hierarchical_l2g,4,1,0.38184584178498987,110.1888267993927,0.024131059646606445,110.2129578590393
hierarchical_l2g,4,2,0.4551217038539554,110.17570471763611,0.029009103775024414,110.20471382141113
hierarchical_l2g,8,0,0.42824543610547666,132.34227204322815,0.024052858352661133,132.3663249015808
hierarchical_l2g,8,1,0.4366125760649087,138.50164198875427,0.026362180709838867,138.5280041694641
hierarchical_l2g,8,2,0.4617139959432049,152.19151306152344,0.18521499633789062,152.37672805786133
hierarchical_l2g,16,0,0.4918864097363083,187.28583192825317,0.07440590858459473,187.36023783683777
hierarchical_l2g,16,1,0.4974645030425964,173.2860198020935,0.0261077880859375,173.31212759017944
hierarchical_l2g,16,2,0.4482758620689655,178.0619511604309,0.030562162399291992,178.0925133228302
hierarchical_l2g,32,0,0.5136916835699797,205.60784196853638,0.03352069854736328,205.64136266708374
hierarchical_l2g,32,1,0.5065922920892495,178.84750604629517,0.041625022888183594,178.88913106918335
hierarchical_l2g,32,2,0.5045638945233266,170.1680030822754,0.022373199462890625,170.19037628173828
hierarchical_l2g,64,0,0.5679513184584178,235.62628698349,0.05189800262451172,235.6781849861145
hierarchical_l2g,64,1,0.5367647058823529,221.16847324371338,0.04675483703613281,221.2152280807495
hierarchical_l2g,64,2,0.5808823529411765,214.18650817871094,0.05026102066040039,214.23676919937134
hierarchical_l2g,128,0,0.6561866125760649,273.84350204467773,0.0576167106628418,273.9011187553406
hierarchical_l2g,128,1,0.6599898580121704,171.43750596046448,0.0662229061126709,171.50372886657715
hierarchical_l2g,128,2,0.6602434077079108,190.85076594352722,0.06600189208984375,190.91676783561707
l2g_standard,4,0,0.4470081135902637,9.914679050445557,0.0138702392578125,9.92854928970337
l2g_standard,4,1,0.4538539553752535,10.488637208938599,0.01646709442138672,10.505104303359985
l2g_standard,4,2,0.44523326572008115,10.053744077682495,0.014266014099121094,10.068010091781616
l2g_standard,8,0,0.45867139959432046,13.866291999816895,0.014696121215820312,13.880988121032715
l2g_standard,8,1,0.4759127789046653,13.196260929107666,0.01682901382446289,13.213089942932129
l2g_standard,8,2,0.4721095334685598,13.628793954849243,0.01599907875061035,13.644793033599854
l2g_standard,16,0,0.5134381338742393,13.91166090965271,0.017055988311767578,13.928716897964478
l2g_standard,16,1,0.5304259634888439,13.189811944961548,0.017798900604248047,13.207610845565796
l2g_standard,16,2,0.5050709939148073,14.035141229629517,0.013178110122680664,14.048319339752197
l2g_standard,32,0,0.6108012170385395,19.16217541694641,0.023545026779174805,19.185720443725586
l2g_standard,32,1,0.5998985801217038,18.358407735824585,0.01914691925048828,18.377554655075073
l2g_standard,32,2,0.5971095334685599,15.904979944229126,0.019793272018432617,15.924773216247559
l2g_standard,64,0,0.6815415821501014,21.896569967269897,0.02393484115600586,21.920504808425903
l2g_standard,64,1,0.6904158215010142,21.487530946731567,0.02327704429626465,21.510807991027832
l2g_standard,64,2,0.6894016227180527,20.83145785331726,0.022340059280395508,20.853797912597656
l2g_standard,128,0,0.7507606490872211,40.426965951919556,0.049941062927246094,40.4769070148468
l2g_standard,128,1,0.7426470588235294,44.72764706611633,0.04977917671203613,44.77742624282837
l2g_standard,128,2,0.7510141987829615,50.64854311943054,0.05205106735229492,50.70059418678284
geo_rademacher,4,0,0.4543610547667343,12.683422803878784,0.0359950065612793,12.719417810440063
geo_rademacher,4,1,0.42570993914807304,11.64656686782837,0.017507076263427734,11.664073944091797
geo_rademacher,4,2,0.44016227180527384,11.742539167404175,0.016047954559326172,11.758587121963501
geo_rademacher,8,0,0.46906693711967545,12.717046976089478,0.020512104034423828,12.737559080123901
geo_rademacher,8,1,0.4601926977687627,13.616758108139038,0.020898103713989258,13.637656211853027
geo_rademacher,8,2,0.45892494929006084,13.047582149505615,0.020999908447265625,13.06858205795288
